AGENTE;Competitivo;Deathmatch;Escalation;Replication;Snowball Fight;Spike Rush;Unrated
Sova;177;0,8972222222222221;0,0;0,0;0,0;0,9283333333333333;100
Fade;31;0,0;0,0;0,0;0,0;0,36916666666666664;15
Skye;28;2,4166666666666665;0,4202777777777778;0,20555555555555557;0,0;0,645;28
Phoenix;24;1,0833333333333333;0,44583333333333336;0,0;0,0;0,9319444444444444;23
KAY/O;14;1,2666666666666666;0,25666666666666665;0,3694444444444444;0,08;1,0833333333333333;58
Reyna;12;1,2;0,0;0,0;0,0;0,6825;27
Viper;5,133333333333334;1,4333333333333333;0,25333333333333335;0,2577777777777778;0,08916666666666666;0,09027777777777778;13
Killjoy;3,966666666666667;1,45;0,6272222222222222;0,45944444444444443;0,18138888888888888;0,18083333333333332;8,533333333333333
Chamber;3,7;0,24638888888888888;0,0;0,0;0,0;0,0;6,316666666666666
Breach;2,3833333333333333;1,8;0,2619444444444444;0,5330555555555556;0,0;0,5811111111111111;30
Yoru;0,6680555555555555;1,8;0,0;0,26361111111111113;0,0;1,05;5,85
Brimstone;0,6294444444444445;0,9219444444444445;0,0;0,0;0,0;0,0;0,9058333333333334
Sage;0,4986111111111111;0,6738888888888889;0,3925;0,0;0,0;0,0;4,25
Raze;0,49083333333333334;1,55;0,2675;0,34194444444444444;0,0;0,7952777777777778;6,916666666666667
Astra;0;1,65;0,12638888888888888;0,0;0,0;0,09722222222222221;3,183333333333333
Omen;0;1,3333333333333333;0,1386111111111111;0,0;0,0;0,0;2,8
Cypher;0;0,9886111111111111;0,0;0,0;0,0;0,0;3,4833333333333334
Jett;0;0,6841666666666667;0,7347222222222222;0,611111111111111;0,0;4,566666666666666;21
Neon;0;0,25722222222222224;0,0;0,15;0,0;0,27999999999999997;2,716666666666667
