AGENTE;Competitivo;Deathmatch;Escalation;Replication;Snowball Fight;Spike Rush;Unrated
Cypher;47;1,55;0,27;0,0;0,0;0,15194444444444444;24
Sage;34;1,0666666666666667;0,14555555555555555;0,0;0,0;0,0;28
Reyna;33;1,8;0,1386111111111111;0,0;0,0;1,0833333333333333;31
Brimstone;31;0,5361111111111111;0,6055555555555555;0,20611111111111113;0,09833333333333333;0,0;11,266666666666667
Raze;31;1,05;0,14972222222222223;0,7930555555555555;0,0;1,6166666666666667;30
Viper;29;2,6;0,1613888888888889;0,0;0,0;0,0;12
Astra;20;2,1666666666666665;0,0;0,2925;0,0;0,0;17
Omen;17;1,0666666666666667;0,2725;0,0;0,0;0,29694444444444446;13
Chamber;16;0,5950000000000001;0,0;0,0;0,0;0,0;22
Jett;12;1,0333333333333334;0,0;0,9494444444444444;0,0;3,8333333333333335;51
Killjoy;10,266666666666667;1,0666666666666667;0,1611111111111111;0,4266666666666667;0,09555555555555555;0,3036111111111111;19
KAY/O;7,216666666666667;1,2333333333333334;0,0;0,3694444444444444;0,0;0,841388888888889;17
Sova;3,8;0,9866666666666666;0,0;0,0;0,0;0,4252777777777778;17
Skye;3,3;3,5;0,13972222222222222;0,0;0,0;0,43194444444444446;14
Fade;2,033333333333333;0,26861111111111113;0,0;0,0;0,0;0,0;3,066666666666667
Yoru;1,8666666666666667;1,7;0,15916666666666665;0,26361111111111113;0,08277777777777778;1,0;8,983333333333333
Phoenix;0,8683333333333334;0,9316666666666666;0,6738888888888889;0,17416666666666666;0,0;1,5166666666666666;2,4833333333333334
Breach;0,48;2,15;0,4913888888888889;0,5330555555555556;0,0;0,10916666666666668;3,7333333333333334
Neon;0;0,40722222222222226;0,0;0,15;0,0;0,18555555555555553;4,883333333333333
