AGENTE;Competitivo;Deathmatch;Escalation;Replication;Snowball Fight;Spike Rush;Unrated
Omen;46;0,9375;0,27999999999999997;0,0;0,0;0,5616666666666668;52
Viper;29;1,1833333333333333;0,0;0,3844444444444445;0,0;1,7666666666666666;63
Killjoy;17;1,5;0,13083333333333333;0,6558333333333334;0,08;0,6566666666666667;35
Skye;10,233333333333333;1,2166666666666668;0,5969444444444445;0,20555555555555557;0,0;1,1833333333333333;23
KAY/O;8,3;0,7394444444444443;0,14083333333333334;0,3694444444444444;0,0;1,5833333333333335;6,483333333333333
Fade;7,416666666666667;0,15888888888888889;0,0;0,0;0,0;0,4494444444444445;9,15
Sova;6,783333333333333;0,7124999999999999;0,11333333333333334;0,0;0,0;0,6697222222222222;16
Reyna;3,3666666666666667;1,0;0,1288888888888889;0,0;0,0;0,13583333333333333;5,633333333333333
Raze;3,25;0,9208333333333333;0,6977777777777778;0,45083333333333336;0,0;0,6811111111111111;34
Astra;2,45;1,9166666666666665;0,0;0,2925;0,0;0,3975;8,55
Breach;1,5333333333333332;1,2833333333333332;0,15916666666666665;0,2891666666666667;0,0;0,0;8,016666666666667
Cypher;1,4166666666666667;1,6333333333333333;0,42500000000000004;0,0;0,09555555555555555;0,0;3,8666666666666667
Phoenix;1,05;0,6900000000000001;0,6158333333333333;0,17416666666666666;0,0;0,2436111111111111;22
Jett;0,6794444444444444;0,4033333333333334;0,0;0,33805555555555555;0,0;0,1411111111111111;6,25
Chamber;0,6675;0,24333333333333335;0,0;0,0;0,0;0,1575;1,4166666666666667
Neon;0,6513888888888889;0,10777777777777778;0,0;0,15;0,0;0,10722222222222223;16
Sage;0;1,1;0,2922222222222222;0,40055555555555555;0,0;0,6222222222222222;8,133333333333333
Brimstone;0;0,7675000000000001;0,41111111111111115;0,4027777777777778;0,0;0,0;8,616666666666667
Yoru;0;0,7127777777777777;0,5333333333333333;0,0;0,0;0,18138888888888888;6,75
